0	14	0	2531	50	25	50
1	10	1	14	50	25	50
2	21	2	20	50	25	50
3	7	3	3	50	25	50
4	14	4	1311	50	25	50
5	26	5	6	50	25	50
6	17	6	6	50	25	50
7	18	7	23	50	25	50
8	9	8	16	50	25	50
9	17	9	17	50	25	50
10	28	10	7	50	25	50
11	13	11	5	50	25	50
12	12	12	3	50	25	50
13	15	4	19922	50	25	50
14	28	13	16	50	25	50
15	27	14	4	50	25	50
16	22	15	20	50	25	50
17	17	16	15	50	25	50
18	17	17	14	50	25	50
19	15	18	12	50	25	50
20	8	19	3	50	25	50
21	29	20	19	50	25	50
22	29	21	4	50	25	50
23	7	12	3	50	25	50
24	9	22	5	50	25	50
25	28	23	3	50	25	50
26	8	10	7	50	25	50
27	18	24	11	50	25	50
28	17	22	5	50	25	50
29	19	25	2	50	25	50
30	30	12	0	50	25	50
31	33	26	4	50	25	50
32	33	27	9	50	25	50
